iter	Passed	Remaining
402	8093	11988
403	8100	11949
404	8108	11911
405	8115	11873
406	8123	11836
407	8132	11800
408	8140	11762
409	8148	11725
410	8155	11687
411	8164	11651
412	8172	11615
413	8180	11579
414	8187	11541
415	8195	11505
416	8203	11469
417	8211	11433
418	8219	11397
419	8227	11361
420	8236	11328
421	8244	11292
422	8251	11256
423	8260	11221
424	8268	11186
425	8276	11151
426	8284	11117
427	8292	11082
428	8300	11047
429	8308	11012
430	8315	10978
431	8323	10943
432	8330	10909
433	8338	10874
434	8348	10843
435	8356	10809
436	8364	10776
437	8373	10743
438	8381	10710
439	8389	10677
440	8397	10644
441	8405	10611
442	8413	10578
443	8421	10546
444	8429	10513
445	8437	10480
446	8444	10447
447	8452	10415
448	8460	10382
449	8468	10350
450	8476	10317
451	8484	10286
452	8493	10255
453	8500	10223
454	8509	10192
455	8519	10164
456	8531	10137
457	8540	10106
458	8549	10076
459	8558	10046
460	8567	10016
461	8574	9985
462	8583	9955
463	8591	9924
464	8599	9894
465	8606	9862
466	8614	9832
467	8622	9801
468	8630	9771
469	8638	9741
470	8647	9711
471	8657	9684
472	8666	9655
473	8674	9625
474	8681	9595
475	8690	9567
476	8697	9536
477	8707	9508
478	8716	9480
479	8723	9450
480	8731	9421
481	8739	9392
482	8747	9363
483	8755	9334
484	8764	9306
485	8772	9278
486	8782	9251
487	8791	9224
488	8800	9195
489	8808	9168
490	8817	9140
491	8825	9112
492	8833	9083
493	8840	9055
494	8848	9027
495	8857	8999
496	8865	8972
497	8873	8944
498	8881	8916
499	8888	8888
500	8897	8862
501	8905	8834
502	8913	8807
503	8921	8779
504	8928	8752
505	8936	8724
506	8944	8697
507	8952	8670
508	8960	8643
509	8968	8616
510	8977	8591
511	8986	8565
512	8995	8539
513	9003	8512
514	9011	8486
515	9020	8460
516	9027	8433
517	9035	8408
518	9044	8381
519	9052	8355
520	9060	8330
521	9068	8303
522	9077	8278
523	9085	8253
524	9093	8227
525	9100	8201
526	9109	8175
527	9116	8149
528	9126	8125
529	9135	8100
530	9142	8075
531	9152	8051
532	9160	8025
533	9168	8001
534	9177	7976
535	9187	7953
536	9195	7928
537	9203	7903
538	9213	7879
539	9221	7855
540	9230	7831
541	9238	7806
542	9246	7782
543	9254	7757
544	9263	7733
545	9272	7710
546	9280	7685
547	9289	7662
548	9296	7637
549	9304	7613
550	9312	7588
551	9321	7565
552	9332	7543
553	9340	7519
554	9348	7495
555	9356	7471
556	9365	7448
557	9372	7424
558	9380	7400
559	9389	7377
560	9397	7353
561	9405	7330
562	9412	7306
563	9420	7282
564	9429	7259
565	9437	7236
566	9445	7213
567	9453	7190
568	9461	7166
569	9469	7143
570	9478	7121
571	9487	7099
572	9497	7077
573	9507	7055
574	9516	7033
575	9525	7011
576	9535	6990
577	9544	6968
578	9553	6946
579	9562	6924
580	9571	6902
581	9580	6880
582	9591	6860
583	9599	6838
584	9610	6817
585	9618	6795
586	9627	6773
587	9636	6752
588	9644	6730
589	9654	6708
590	9662	6687
591	9672	6665
592	9679	6643
593	9689	6622
594	9698	6601
595	9707	6580
596	9716	6559
597	9725	6537
598	9732	6515
599	9742	6495
600	9750	6473
601	9758	6451
602	9766	6430
603	9775	6409
604	9783	6387
605	9792	6366
606	9800	6345
607	9808	6323
608	9817	6303
609	9826	6282
610	9835	6261
611	9844	6241
612	9853	6220
613	9861	6199
614	9871	6179
615	9878	6158
616	9887	6137
617	9894	6116
618	9903	6095
619	9911	6074
620	9920	6054
621	9928	6033
622	9937	6013
623	9945	5993
624	9954	5972
625	9962	5951
626	9969	5930
627	9978	5910
628	9985	5889
629	9993	5869
630	10000	5848
631	10008	5827
632	10016	5807
633	10025	5787
634	10033	5767
635	10042	5747
636	10049	5727
637	10058	5706
638	10065	5686
639	10072	5665
640	10080	5645
641	10086	5624
642	10094	5604
643	10102	5584
644	10110	5564
645	10117	5544
646	10126	5524
647	10133	5504
648	10140	5484
649	10148	5464
650	10156	5444
651	10164	5425
652	10173	5406
653	10181	5386
654	10189	5366
655	10197	5347
656	10205	5327
657	10213	5308
658	10221	5289
659	10229	5269
660	10237	5250
661	10245	5231
662	10255	5212
663	10262	5193
664	10271	5174
665	10278	5154
666	10288	5136
667	10296	5117
668	10304	5098
669	10312	5079
670	10320	5060
671	10331	5042
672	10339	5023
673	10347	5004
674	10356	4986
675	10364	4967
676	10371	4948
677	10379	4929
678	10387	4910
679	10395	4891
680	10403	4873
681	10410	4854
682	10418	4835
683	10426	4816
684	10435	4798
685	10442	4779
686	10452	4762
687	10460	4743
688	10469	4725
689	10478	4707
690	10486	4689
691	10496	4671
692	10505	4654
693	10514	4636
694	10523	4618
695	10532	4600
696	10542	4582
697	10550	4564
698	10559	4546
699	10566	4528
700	10575	4510
701	10583	4492
702	10591	4474
703	10599	4456
704	10606	4438
705	10614	4420
706	10622	4402
707	10630	4384
708	10638	4366
709	10647	4348
710	10655	4331
711	10665	4314
712	10673	4296
713	10683	4279
714	10691	4261
715	10699	4243
716	10708	4226
717	10717	4209
718	10726	4192
719	10734	4174
720	10742	4157
721	10751	4139
722	10759	4122
723	10768	4105
724	10776	4087
725	10787	4071
726	10795	4054
727	10805	4037
728	10813	4019
729	10821	4002
730	10829	3985
731	10837	3967
732	10846	3950
733	10854	3933
734	10864	3917
735	10874	3900
736	10882	3883
737	10889	3865
738	10896	3848
739	10905	3831
740	10912	3814
741	10921	3797
742	10928	3780
743	10937	3763
744	10944	3746
745	10953	3729
746	10960	3712
747	10972	3696
748	10980	3679
749	10990	3663
750	10999	3647
751	11007	3630
752	11016	3613
753	11024	3596
754	11033	3580
755	11041	3563
756	11050	3547
757	11058	3530
758	11066	3513
759	11075	3497
760	11083	3480
761	11092	3464
762	11101	3448
763	11111	3432
764	11118	3415
765	11126	3399
766	11135	3382
767	11143	3366
768	11151	3349
769	11160	3333
770	11168	3317
771	11175	3300
772	11183	3284
773	11192	3268
774	11200	3251
775	11210	3236
776	11219	3220
777	11226	3203
778	11235	3187
779	11243	3171
780	11252	3155
781	11259	3138
782	11267	3122
783	11275	3106
784	11284	3090
785	11293	3074
786	11301	3058
787	11311	3043
788	11321	3027
789	11329	3011
790	11337	2995
791	11345	2979
792	11353	2963
793	11361	2947
794	11368	2931
795	11376	2915
796	11385	2899
797	11393	2883
798	11401	2868
799	11409	2852
800	11418	2836
801	11426	2820
802	11434	2805
803	11443	2789
804	11452	2774
805	11460	2758
806	11469	2742
807	11478	2727
808	11486	2711
809	11495	2696
810	11503	2680
811	11511	2665
812	11520	2649
813	11528	2634
